Divisioncode,Division,Postalcode
510100,Chengdu,610000
510104,Jinjiang,610000
510105,Qingyang,610000
510106,Jinniu,610000
510107,Wuhou,610000
510108,Chenghua,610000
510112,Longquanyi,610100
510113,Qingbaijiang,610300
510114,Xindu,610500
510115,Wenjiang,611100
510116,Shuangliu,610200
510117,Pidu,611700
510121,Jintang Co.,610400
510129,Dayi Co.,611300
510131,Pujiang Co.,611600
510132,Xinjin Co.,611400
510181,Dujiangyan,611800
510182,Pengzhou,611900
510183,Qionglai,611500
510184,Chongzhou,611200
510185,Jianyang,611400
